Peso	LongTotal	LongPatron	AltMax	AltMin
14.80	12.60	12.10	3.30	1.00
9.70	8.70	8.20	2.60	0.70
29.80	14.70	12.50	4.70	1.90
18.40	12.30	10.30	3.60	1.50
12.80	9.60	8.40	2.30	1.00
12.40	9.40	8.10	2.10	0.90
24.80	15.30	14.30	4.30	2.80
23.90	15.00	14.90	4.00	2.80
17.20	12.90	13.50	3.80	2.20
16.70	12.40	13.00	3.80	2.00
16.20	12.90	12.20	2.10	0.10
14.50	11.70	11.00	1.80	0.90
14.80	11.50	11.00	1.80	0.90
13.80	9.30	8.70	2.30	0.90
12.40	9.10	8.50	2.10	0.70
9.70	6.80	6.10	2.00	0.70
4.50	5.70	4.80	2.00	0.50
2.30	4.60	4.00	1.20	0.60
1.80	4.90	4.20	0.70	0.60
1.90	3.40	3.00	0.40	0.40
12.30	9.70	9.40	1.80	0.90
9.70	8.30	7.70	1.00	0.90
9.90	8.50	7.90	1.00	0.80
5.10	7.20	6.80	0.80	0.70
2.30	5.40	5.00	0.70	0.50
1.10	2.60	2.20	0.50	0.30
0.80	2.20	1.80	0.50	0.30
27.20	12.00	10.20	3.00	0.80
12.00	9.80	8.00	1.80	0.80
14.10	9.70	8.60	1.80	0.70
13.00	9.80	8.40	2.00	0.60
9.70	9.40	8.00	1.80	0.70
1.10	5.40	4.70	0.90	0.60
1.50	4.80	3.90	0.90	0.60
0.50	3.90	3.20	0.60	0.50
1.10	4.50	4.00	0.80	0.60
2.00	5.60	4.60	1.10	0.40
11.00	13.60	13.00	2.30	1.20
7.80	7.90	7.20	1.80	0.80
6.30	7.40	6.80	1.70	0.80
4.70	5.90	5.30	1.10	0.40
2.10	4.80	4.10	1.00	0.30
11.70	8.40	7.70	1.70	0.80
10.30	8.00	7.50	1.50	0.80
5.90	7.90	7.40	1.20	0.70
2.80	5.60	5.10	0.90	0.30
2.30	5.60	5.00	0.70	0.30
1.40	4.80	3.80	0.70	0.30
12.90	9.70	8.90	1.80	0.90
11.70	9.40	8.30	1.60	0.90
3.20	8.60	7.80	1.30	0.80
1.80	5.30	4.60	0.40	0.40
1.20	4.90	4.00	0.40	0.30
16.80	12.30	11.80	3.40	1.30
14.60	11.15	11.00	3.00	1.20
12.30	10.70	10.10	2.30	1.20
10.70	8.90	8.20	1.80	1.00
10.20	8.60	7.90	1.80	0.90
5.30	5.50	5.00	1.40	0.80
4.90	5.30	4.70	1.40	0.80
2.80	4.20	3.80	0.80	0.70
10.30	8.70	7.60	1.80	0.80
9.80	6.90	6.00	0.90	0.70
4.40	5.40	4.80	0.70	0.50
26.80	14.70	13.90	2.80	1.20
24.90	14.50	13.70	2.50	1.10
16.40	11.50	11.20	1.70	0.90
15.20	10.30	9.80	1.00	0.70
12.30	9.40	8.70	1.00	0.70
12.40	9.70	8.00	2.40	0.80
12.90	9.40	7.80	2.00	0.50
10.30	9.20	7.50	2.00	0.40
10.90	6.50	5.20	1.40	0.50
4.70	5.00	4.00	1.00	0.40
2.00	4.60	3.70	1.20	0.40
1.90	4.50	3.80	0.70	0.30
1.70	3.80	3.20	0.90	0.30
14.70	9.60	8.20	2.60	0.90
12.40	9.00	7.00	2.40	0.80
12.90	9.40	7.80	2.00	0.50
10.30	9.20	7.50	2.00	0.50
10.90	6.50	5.20	1.30	0.40
4.70	5.00	4.00	1.00	0.40
2.00	4.60	3.70	1.20	0.30
1.90	4.50	3.80	0.80	0.30
1.70	3.80	3.20	0.60	0.30
0.60	2.40	3.00	0.40	0.20
0.60	4.40	3.20	0.40	0.20
27.40	13.30	11.40	4.00	0.90
12.80	9.60	8.00	2.80	0.70
10.60	9.10	8.60	2.50	0.70
8.70	6.40	4.70	1.80	0.50
2.30	4.20	1.50	0.90	0.40
2.00	3.50	2.90	0.50	0.40
15.80	10.40	9.90	1.50	1.30
12.60	9.70	9.20	1.20	1.00
4.90	5.20	4.80	1.00	0.70
1.70	3.80	3.30	0.80	0.40
10.50	9.70	9.20	1.00	0.80
4.90	6.40	5.80	0.80	0.60
4.50	6.20	5.80	0.80	0.60
20.20	11.80	10.20	2.80	0.80
14.30	10.50	9.40	2.50	0.90
13.50	10.70	9.40	2.70	0.90
13.50	10.40	9.20	2.50	0.90
10.30	9.80	8.30	2.30	0.80
5.00	7.50	6.40	1.70	0.50
6.30	7.50	6.70	1.90	0.70
20.20	15.70	14.80	3.20	1.70
14.30	12.90	12.10	2.80	1.50
13.50	11.80	11.00	2.50	1.30
13.50	11.50	11.00	2.50	1.30
10.30	9.20	8.60	1.40	1.00
5.00	7.00	6.40	1.40	0.90
6.30	7.30	6.90	1.50	0.90
